EC1,EC2,EC3,EC4,EC5,EC6
18;28;3;3;,1;25;3;3;3;8;,18;28;29;29;29;3;3;3;44;,1;26;28;44;,18;18;18;18;26;26;28;28;29;29;44;44;,18;28;8;
18;28;3;44;,1;25;3;3;44;8;,18;28;29;29;29;3;3;44;46;,26;28;3;44;,18;18;18;20;26;26;27;28;29;29;44;44;,18;28;29;
18;28;3;46;,25;3;3;3;3;8;,18;28;29;29;3;3;34;44;46;,26;28;4;44;,17;18;28;29;44;,18;28;3;8;
18;28;3;4;,25;3;3;3;44;8;,18;28;29;29;3;3;3;34;44;,18;18;28;28;29;3;44;,17;26;28;29;44;,18;28;31;
18;28;3;58;,25;3;3;3;4;8;,18;28;29;29;3;3;3;3;44;,18;18;28;28;29;4;44;,18;19;28;29;44;,18;28;34;
18;28;44;44;,25;3;3;3;5;8;,18;28;29;29;3;3;3;44;44;,1;18;18;28;28;29;44;,18;25;28;29;44;,18;28;39;
18;28;44;46;,25;3;3;44;5;8;,18;28;29;29;3;3;3;44;46;,17;28;3;31;44;44;5;,19;26;28;29;44;,17;18;18;18;28;28;29;31;
18;28;44;58;,25;3;3;4;44;8;,18;28;29;29;3;3;44;44;46;,17;28;3;3;31;44;44;,25;26;28;29;44;,17;18;18;19;28;28;29;31;
18;28;46;46;,1;3;44;,18;28;29;29;3;3;44;46;46;,19;28;3;31;44;44;5;,17;17;17;19;20;27;29;29;29;29;44;,18;18;28;29;
18;28;46;58;,1;44;44;,26;28;29;29;29;3;3;3;44;,19;28;3;3;31;44;44;,17;17;19;19;20;27;29;29;29;29;44;,18;19;28;29;
18;28;4;44;,3;3;44;,26;28;29;29;29;3;3;44;46;,18;18;28;29;29;3;37;44;44;5;,17;17;17;17;17;27;29;29;29;29;44;,18;28;3;3;31;
18;28;4;46;,3;44;44;,26;28;29;29;3;3;34;44;46;,18;18;28;29;29;3;3;37;44;44;,17;17;17;17;19;27;29;29;29;29;44;,18;28;29;3;3;39;44;44;
18;28;4;4;,3;44;5;,26;28;29;29;3;3;3;34;44;,18;26;28;29;29;3;37;44;44;5;,17;17;18;19;27;28;29;29;44;44;,18;28;29;3;31;
18;28;4;58;,3;4;44;,26;28;29;29;3;3;3;3;44;,18;26;28;29;29;3;3;37;44;44;,17;17;18;19;28;29;29;29;44;44;,18;28;29;29;3;39;44;44;
18;28;58;58;,44;44;5;,26;28;29;29;3;3;3;44;44;,17;18;28;3;44;,17;17;18;19;28;29;29;44;44;59;,18;31;37;44;44;
1;18;28;3;,4;44;44;,26;28;29;29;3;3;3;44;46;,17;18;28;44;44;,17;17;17;17;27;27;29;29;44;44;,18;37;39;44;44;
1;18;28;44;,25;28;3;43;,26;28;29;29;3;3;44;44;46;,17;18;28;4;44;,17;17;17;17;27;29;29;29;44;44;,18;3;31;37;44;
1;18;28;46;,25;28;43;44;,26;28;29;29;3;3;44;46;46;,17;26;28;3;44;,17;17;17;17;27;29;29;44;44;59;,18;3;31;44;44;
1;18;28;4;,2;25;28;3;,18;27;28;29;3;,17;26;28;44;44;,18;19;28;29;3;3;31;44;44;,18;3;37;39;44;
1;18;28;58;,2;25;28;44;,18;27;28;29;46;,17;26;28;4;44;,17;17;27;29;3;3;31;44;44;,18;3;39;44;44;
1;1;18;28;,29;3;43;44;,18;27;28;34;46;,18;19;28;3;44;,17;18;28;44;,18;3;3;31;37;
1;1;22;28;,29;43;44;44;,18;27;28;3;34;,18;19;28;44;44;,17;26;28;44;,18;3;3;31;44;
1;1;26;28;,2;29;3;44;,18;27;28;3;3;,18;19;28;4;44;,18;19;28;44;,18;3;3;37;39;
1;22;28;3;,2;29;44;44;,18;27;28;3;44;,18;25;28;3;44;,19;26;28;44;,18;3;3;39;44;
1;22;28;44;,25;3;32;,18;27;28;3;46;,18;25;28;44;44;,18;18;29;44;,18;3;3;3;31;
1;22;28;46;,3;37;,18;27;28;44;46;,18;25;28;4;44;,18;26;29;44;,18;3;3;3;39;
1;22;28;4;,1;25;3;3;,18;27;28;46;46;,19;26;28;3;44;,26;26;29;44;,18;28;31;44;44;
1;22;28;58;,25;3;3;3;,26;27;28;29;3;,19;26;28;44;44;,29;3;3;3;3;3;44;,18;28;3;31;44;
1;26;28;3;,25;3;3;5;,26;27;28;29;46;,19;26;28;4;44;,29;3;3;3;3;44;44;,18;28;3;3;44;
1;26;28;44;,1;3;3;,26;27;28;34;46;,1;17;18;28;44;,29;3;3;3;44;44;44;,18;28;3;44;44;
1;26;28;46;,3;3;3;,26;27;28;3;34;,1;17;26;28;44;,29;3;3;44;44;44;44;,17;18;18;19;19;26;28;31;31;34;37;44;
1;26;28;4;,3;3;5;,26;27;28;3;3;,1;18;19;28;44;,28;3;3;3;3;3;44;,18;18;18;19;19;26;28;31;31;34;37;44;
1;26;28;58;,1;25;3;,26;27;28;3;44;,1;18;25;28;44;,28;3;3;3;3;44;44;,17;18;18;19;19;31;31;31;37;44;44;
22;28;3;3;,1;25;44;,26;27;28;3;46;,1;19;26;28;44;,28;3;3;3;44;44;44;,18;18;18;19;19;31;31;31;37;44;44;
22;28;3;44;,25;3;3;,26;27;28;44;46;,1;25;26;28;44;,28;3;3;44;44;44;44;,18;18;26;28;31;31;
22;28;3;46;,25;3;44;,26;27;28;46;46;,25;26;28;3;44;,17;18;18;18;28;44;,18;18;26;28;31;34;
22;28;3;4;,25;3;4;,18;18;18;26;28;28;29;44;66;,25;26;28;44;44;,17;18;18;26;28;44;,18;18;26;28;31;39;
22;28;3;58;,25;3;5;,18;18;18;26;28;28;29;44;69;,25;26;28;4;44;,17;18;26;26;28;44;,18;18;26;28;34;34;
22;28;44;44;,25;44;5;,18;18;18;26;28;28;29;44;77;,17;18;18;28;28;29;3;44;,17;26;26;26;28;44;,18;18;26;28;34;39;
22;28;44;46;,25;4;44;,18;18;26;26;28;28;29;44;66;,17;18;18;28;28;29;44;44;,18;18;18;19;28;44;,18;18;28;28;31;31;
