reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
10|18|,1,0,0,0,0,0
10|18|18|31|37|44|,0,1,0,0,0,0
10|21|,1,0,0,0,0,0
10|21|37|44|,0,0,0,0,1,0
10|21|37|4|,0,0,0,0,1,0
10|21|37|5|,0,0,0,0,1,0
10|21|3|37|,0,0,0,0,1,0
10|22|,1,0,0,0,0,0
10|26|,1,0,0,0,0,0
10|41|,1,0,0,0,0,0
11|11|17|17|17|17|17|17|17|17|18|18|18|19|19|27|29|29|31|31|31|44|44|,1,0,0,0,0,0
11|11|17|18|19|19|28|29|39|44|,0,0,0,1,0,0
11|11|17|18|19|28|29|39|44|44|,0,0,0,1,0,0
11|11|3|3|3|3|3|3|3|3|3|3|3|3|44|44|,1,0,0,0,0,0
11|11|3|3|3|3|3|3|3|3|3|3|3|44|44|5|,1,0,0,0,0,0
11|11|3|3|3|3|3|3|3|3|3|3|44|44|5|5|,1,0,0,0,0,0
11|11|3|3|3|3|3|3|3|3|3|44|44|5|5|5|,1,0,0,0,0,0
11|11|3|3|3|44|44|,1,0,0,0,0,0
11|11|44|44|,1,0,0,0,0,0
11|15|30|44|,0,0,0,0,1,0
11|15|30|4|,0,0,0,0,1,0
11|15|30|5|,0,0,0,0,1,0
11|15|3|30|,0,0,0,0,1,0
11|17|17|17|18|19|27|28|31|44|,0,1,0,0,0,0
11|17|17|17|44|44|,0,0,0,1,0,0
11|17|17|18|18|26|28|29|31|39|44|,0,0,0,1,0,0
11|17|17|18|28|29|39|,0,0,0,1,0,0
11|17|17|19|44|44|,0,0,0,1,0,0
11|17|18|18|19|26|28|29|31|39|44|,0,0,0,1,0,0
11|17|18|18|19|28|44|44|,0,0,0,1,0,0
11|17|18|18|20|26|28|29|31|39|44|,0,0,0,1,0,0
11|17|18|18|25|28|44|44|,0,0,0,1,0,0
11|17|18|19|19|28|29|29|39|44|,0,0,0,1,0,0
11|17|18|19|19|28|29|39|,0,0,0,1,0,0
11|17|18|19|19|28|29|39|44|72|,0,0,0,1,0,0
11|17|18|19|26|28|44|44|,0,0,0,1,0,0
11|17|18|19|28|29|29|39|44|44|,0,0,0,1,0,0
11|17|18|19|28|29|39|,0,0,0,1,0,0
11|17|18|19|28|29|39|44|,0,0,0,1,0,0
11|17|18|19|28|29|39|44|44|72|,0,0,0,1,0,0
11|17|18|20|28|29|39|,0,0,0,1,0,0
11|17|18|25|26|28|44|44|,0,0,0,1,0,0
11|17|19|19|44|44|,0,0,0,1,0,0
11|17|19|27|44|,0,0,0,1,0,0
11|17|22|28|44|44|,1,0,0,0,0,0
11|17|26|28|44|44|,1,0,0,0,0,0
11|18|18|19|19|28|44|44|,0,0,0,1,0,0
11|18|18|19|25|28|44|44|,0,0,0,1,0,0
11|18|18|19|28|44|44|,0,0,0,1,0,0
11|18|18|19|44|44|,0,0,0,1,0,0
11|18|18|25|28|44|44|,0,0,0,1,0,0
11|18|18|25|44|44|,0,0,0,1,0,0
11|18|19|19|26|28|44|44|,0,0,0,1,0,0
11|18|19|25|26|28|44|44|,0,0,0,1,0,0
11|18|19|26|28|44|44|,0,0,0,1,0,0
11|18|19|26|44|44|,0,0,0,1,0,0
11|18|22|28|44|44|,1,0,0,0,0,0
11|18|25|26|28|44|44|,0,0,0,1,0,0
11|18|25|26|44|44|,0,0,0,1,0,0
11|18|26|28|3|3|3|3|32|44|44|8|8|,1,0,0,0,0,0
11|18|26|28|44|44|,1,0,0,0,0,0
11|18|27|28|3|44|,0,1,0,0,0,0
11|18|28|3|44|,0,1,0,0,0,0
11|18|28|3|44|8|,0,1,0,0,0,0
11|19|19|19|44|44|,0,0,0,1,0,0
11|19|19|27|44|,0,0,0,1,0,0
11|19|22|28|44|44|,1,0,0,0,0,0
11|19|26|26|44|44|,0,0,0,1,0,0
11|19|26|28|44|44|,1,0,0,0,0,0
11|19|3|3|3|39|44|8|,1,0,0,0,0,0
11|22|25|28|44|44|,1,0,0,0,0,0
11|22|26|28|44|44|,1,0,0,0,0,0
11|22|28|44|44|44|,1,0,0,0,0,0
11|25|26|26|44|44|,0,0,0,1,0,0
11|25|26|28|44|44|,1,0,0,0,0,0
11|25|29|,1,0,0,0,0,0
11|25|44|,1,0,0,0,0,0
11|26|26|28|44|44|,1,0,0,0,0,0
11|26|28|44|44|44|,1,0,0,0,0,0
11|29|29|,1,0,0,0,0,0
11|29|44|,1,0,0,0,0,0
11|37|44|,0,1,0,0,0,0
11|3|44|,0,1,0,0,0,0
11|44|,1,0,0,0,0,0
11|44|44|,1,1,0,0,0,0
11|44|44|66|,1,0,0,0,0,0
11|44|44|69|,1,0,0,0,0,0
11|44|44|75|,1,0,0,0,0,0
11|44|44|77|,1,0,0,0,0,0
11|44|44|79|,1,0,0,0,0,0
11|44|46|,0,1,0,0,0,0
13|,1,0,0,0,0,0
14|28|,1,0,0,0,0,0
15|15|,0,0,0,1,0,0
15|16|,0,0,0,1,0,0
15|16|19|,0,0,0,1,0,0
15|16|26|,0,0,0,1,0,0
15|16|39|,0,0,0,1,0,0
15|16|46|,0,0,0,1,0,0
15|18|,1,0,0,0,0,0
15|19|30|,0,0,0,1,0,0
15|26|30|,0,0,0,1,0,0
15|30|,0,0,0,1,0,0
15|30|39|,0,0,0,1,0,0
15|30|44|8|,0,0,0,0,1,0
15|30|46|,0,0,0,1,0,0
15|30|4|8|,0,0,0,0,1,0
15|30|5|8|,0,0,0,0,1,0
15|3|30|8|,0,0,0,0,1,0
16|,1,0,0,0,0,0
16|16|,0,0,0,1,0,0
16|30|,0,0,0,1,0,0
17|17|,1,0,0,0,0,0
17|17|17|17|17|17|18|27|28|29|29|44|,0,1,0,0,0,0
17|17|17|17|17|17|27|29|41|44|,0,0,0,0,1,0
17|17|17|17|17|18|26|28|28|29|29|44|,0,1,0,0,0,0
17|17|17|17|17|19|27|27|41|44|,0,0,0,0,1,0
17|17|17|17|17|19|27|29|41|44|,0,0,0,0,1,0
17|17|17|17|17|20|27|29|41|44|,0,0,0,0,1,0
17|17|17|17|17|26|27|28|29|29|44|44|,0,1,0,0,0,0
17|17|17|17|17|27|29|29|29|29|44|,0,0,0,0,1,0
17|17|17|17|18|18|18|19|19|31|31|31|8|8|,1,0,0,0,0,0
17|17|17|17|18|26|28|28|29|29|29|44|44|,0,1,0,0,0,0
17|17|17|17|18|26|28|28|29|29|44|44|,0,1,0,0,0,0
17|17|17|17|18|29|29|44|,0,0,0,1,0,0
17|17|17|17|19|19|27|27|41|44|,0,0,0,0,1,0
17|17|17|17|19|19|27|29|41|44|,0,0,0,0,1,0
17|17|17|17|19|20|27|27|41|44|,0,0,0,0,1,0
17|17|17|17|19|20|27|29|41|44|,0,0,0,0,1,0
17|17|17|17|19|26|27|28|29|29|44|44|,0,1,0,0,0,0
17|17|17|17|19|27|29|29|29|29|44|,0,0,0,0,1,0
17|17|17|17|20|20|27|29|41|44|,0,0,0,0,1,0
17|17|17|17|20|26|27|28|29|29|44|44|,0,1,0,0,0,0
17|17|17|17|26|26|28|28|29|29|44|44|,0,1,0,0,0,0
17|17|17|17|27|27|29|29|44|44|,0,0,0,0,1,0
17|17|17|17|27|29|29|29|44|44|,0,0,0,0,1,0
17|17|17|17|27|29|29|44|44|,0,0,0,1,0,0
17|17|17|17|27|29|29|44|44|59|,0,0,0,0,1,0
17|17|17|18|18|19|28|28|29|29|44|44|,0,0,0,1,0,0
17|17|17|18|18|22|27|29|44|44|,0,0,0,1,0,0
17|17|17|18|19|26|28|28|29|29|44|44|,0,1,0,0,0,0
17|17|17|18|19|28|29|31|44|8|,0,1,0,0,0,0
17|17|17|18|19|29|29|44|,0,0,0,1,0,0
17|17|17|18|20|29|29|44|,0,0,0,1,0,0
17|17|17|18|26|28|29|44|,0,0,0,1,0,0
17|17|17|18|27|28|,1,0,0,0,0,0
17|17|17|18|28|,1,0,0,0,0,0
17|17|17|18|28|29|3|44|,1,0,0,0,0,0
17|17|17|18|28|29|44|44|,1,0,0,0,0,0
17|17|17|18|28|39|44|44|44|,1,0,0,0,0,0
17|17|17|18|28|3|39|44|44|,1,0,0,0,0,0
17|17|17|18|28|44|44|44|,1,0,0,0,0,0
17|17|17|18|37|44|,1,0,0,0,0,0
17|17|17|18|39|44|57|,0,0,0,1,0,0
17|17|17|18|39|44|8|,0,0,0,1,0,0
17|17|17|18|3|37|,1,0,0,0,0,0
17|17|17|19|19|19|27|27|41|44|,0,0,0,0,1,0
17|17|17|19|19|19|27|29|41|44|,0,0,0,0,1,0
17|17|17|19|19|20|27|27|41|44|,0,0,0,0,1,0
